date,avgR,stdR,avgS,stdS
20210701,-2.7096657064704317,4.042192719806623,19.620464283120718,24.074132409336286
20210702,-2.992391655685124,4.484798860282573,26.489718789626792,32.81394715881363
20210705,-3.1620777417862103,4.4534188558110674,18.443729754743174,26.40649562806489
20210706,-2.9741178340574335,4.344397200804309,20.275882165942566,23.728781569829934
20210707,-3.241288516735062,4.843930463847104,20.71810138292573,25.1014753496739
20210708,-2.8248342815387026,4.394497742653956,22.32911425439741,27.70470670356209
20210709,-2.706215322535448,4.061146304250824,20.736815557921876,27.38736603838398
20210712,-3.0272414519413045,4.475176136702808,11.631257459804816,14.348831083519597
20210713,-2.9642229950759273,4.234540414172695,12.348472848731104,13.97344268499151
20210714,-3.006453122910258,4.220547169269314,13.165674735856626,15.257035073097953
20210715,-3.177344051672693,4.464303438401117,12.87036191947204,15.774826975143473
20210716,-3.287934127899526,4.733204101724491,14.351339228501859,17.64328682819309
20210719,-2.909090909090909,4.218151157814677,18.193053016453383,22.51415505702744
20210720,-2.897981531904818,4.72970527023699,17.958417189534746,23.59307777327685
20210721,-3.0796331911809793,4.597885309632455,17.99654374669008,22.253270772589193
20210722,-2.886777889924598,4.506304406064018,27.45250252330345,39.88278017647959
20210723,-2.9712061627969617,4.45179311938528,28.556914291870925,37.46333632652973
20210726,-3.0050716368708,4.172303231510994,23.131659693165968,40.32547575037467
20210727,-2.9472644416932274,4.606595929741129,24.038379474751732,29.066605536037322
20210728,-2.747681132913542,4.344156341543167,24.317848091343766,28.902183306438904
20210729,-2.800664721141375,4.465431739675306,24.368136619109382,34.58971528112173
20210730,-3.243800580421395,4.660737983961356,27.094212302102257,35.12754518597166
20210802,-2.8625242813936906,4.439025134044518,21.468981287958886,30.354322438499672
20210803,-2.5909053911061672,3.9334193126510626,26.681715820603955,41.74796283153353
20210804,-2.7579450786794197,4.219472933938777,24.735020055538413,30.68517283495475
20210805,-2.8741213302616813,4.118610001725854,22.621861893791717,27.368810636761804
20210806,-2.759001512859304,4.214826675521494,25.17534039334342,31.21117226091923
20210809,-3.1273657431997988,4.718563725878758,41.70062341002488,81.3674684590367
20210810,-3.105205894958953,4.141608667692816,31.45936500609937,46.79733320274488
20210811,-3.3196464118222613,4.691666031302329,16.890414656364925,19.12648421485585
20210812,-2.977172958735733,4.364844104815757,19.018479033404407,23.86291436299989
20210813,-3.0291049530179963,4.267491964654699,14.879319955406912,17.24655762036418
20210816,-3.087601455359642,4.569096579407804,14.086388655658178,17.493040577556158
20210817,-3.182041618875963,4.4245592831724885,15.484319187284942,18.83333357216167
20210818,-2.653691515025166,4.347104137237076,16.97191529916312,21.656030681854933
20210819,-2.8648499862372696,4.59549083506928,15.76862097440132,19.0583939241504
20210820,-3.2545574788659497,4.692050442832903,17.017396054977283,20.6516393688252
20210823,-3.2957895978299327,4.8410293820715715,19.744474584267014,23.7639743026934
20210824,-2.8399127473930625,4.148975478811201,22.318684826558844,31.85677430058676
20210825,-2.941502563032032,4.186883118230742,24.552710319393224,43.6361216675318
20210826,-2.803851344337174,4.404686606801241,25.96153846153846,32.85658377041323
20210827,-3.172598676705453,4.4702716433293554,21.065503080082134,28.39615732578213
20210830,-3.5678769907507415,5.43019270164205,15.497555132258508,20.517582717028926
20210831,-3.3932359233465337,5.45804382361902,22.95866903363831,33.00328164541362
20210901,-2.6813630490956073,4.412614642518312,17.673080472499077,21.56685714281582
20210902,-2.9562441940785558,4.524959089305829,17.598813805587977,22.32126675609878
20210903,-2.8441671964399236,4.145070869561282,21.690056155965248,33.52208045169545
20210906,-3.3179735725308643,8.650272012247687,20.30743634259259,27.65839196500219
20210907,-2.9567167187342536,4.33193799253959,21.271011790789075,26.602373531150214
20210908,-3.2046175949747737,4.631464508325266,14.106685823114704,17.17405764356894
20210909,-3.538970751163306,5.383326179753557,10.715017726567693,14.395130311452887
20210910,-3.2518716869774305,4.937630145403398,12.245751133941745,16.602515611408567
20210913,-3.726030264342075,5.9373543265364646,10.167521295966848,14.388843143136391
20210914,-3.6317586549682326,6.372916392868482,10.00473267925833,14.372693463780397
20210915,-3.572363605947178,5.801633729129212,9.974132703205704,13.904360297274517
20210916,-3.6154763453449545,6.086221676299992,9.64457308876458,14.057775751331269
20210917,-3.4633076520988157,5.34624428045352,10.703324924433536,14.68285767427605
20210922,-5.057024271406659,11.536680927663468,9.560678516647117,17.302781920144675
20210923,-3.136965603057506,5.197160981607979,12.360990134210292,15.744748518407997
20210924,-3.2907307684432525,5.526092992126503,12.119699420545055,16.801296043627804
20210927,-3.4711043814182827,6.108056481878978,11.826742763962494,17.01084227942259
20210928,-3.3897916666666665,5.085061860318308,16.258895833333334,21.269247019601234
20210929,-3.2775147928994084,5.093766478757784,12.720749506903353,17.634927224555245
20210930,-3.0443273135746995,4.905948227657373,13.722695066102133,19.63824811002693
20211008,-3.9278275611528217,5.996254837710427,8.97219665778639,13.143252011054463
20211011,-3.764877127645624,8.053847736324082,10.690445592593564,14.692963228595827
20211012,-3.8710453506555997,6.218985462078323,10.832334897149044,14.876664881318518
20211013,-4.189013136467268,7.310267407410206,8.42820540657909,13.373225999075155
20211014,-4.306691652321705,7.463196862643795,9.1772383587911,14.60039285552746
20211015,-4.0114536501819735,6.6660546801589176,8.752451295225862,13.034225810604898
20211018,-4.335825456323338,7.713033918061312,7.939863102998697,13.041371896624108
20211019,-3.987186275548025,6.185332179199284,8.81882876204596,13.273589042718916
20211020,-3.876285907886902,7.809485406269302,7.811790312313915,13.153630093667195
20211021,-3.492150613786591,5.872432146805328,8.284840258105131,11.769605892868451
20211022,-4.3054338818515445,10.689013026341968,29.892289175644212,107.03405181727774
20211025,-3.9848187506942643,9.588284188475233,7.761265597807975,13.336095963452308
20211026,-3.684261221344635,6.61701722825286,9.308225775380466,15.083384996067233
20211027,-3.773779345310261,7.163324675681462,7.7714464161063965,12.596984308659103
20211028,-4.339766565573017,10.66107726370419,7.894311184633765,14.379876656853817
20211029,-3.6432058889806958,6.936837331161215,9.672350334259747,16.961723143334805
20211101,-3.643355872409231,7.165256957992533,7.45908055269734,11.550126640333442
20211102,-4.334426728070556,7.00420448045876,8.077877221184343,12.798874126842556
20211103,-3.857093023255814,6.145137682011817,9.99160465116279,14.272580615470163
20211104,-3.9078167830931116,5.9732647716783465,8.314793527279159,12.598141864804553
20211105,-4.001502102944122,6.7062255100521275,7.649088724213899,12.864438773988418
20211108,-3.94560469276532,6.997929605847004,9.392519865207804,14.056897046693624
20211109,-3.5226810320910014,5.59698122083299,11.04762785535929,15.409063475192477
20211110,-3.6666379903647623,5.752634291480992,9.29267033723331,13.021148672800802
20211111,-3.4801223241590216,5.64550440881223,10.552460783666644,14.611023846683588
20211112,-3.4334456155601436,5.215303435144214,10.095968705856786,12.95387566545039
20211115,-3.214959131600571,5.477115213147986,10.016174371837565,14.026930793121565
20211116,-3.0999303621169916,5.202107772605105,10.149557594625595,14.0743036006269
20211117,-3.08897732102152,4.957389368889313,11.339392651547348,15.211933888550169
20211118,-2.959156131541866,4.781921168951129,10.688689542937663,14.307594538550447
20211119,-3.2628782938897625,5.574634959462186,11.974722872156802,18.06816026019931
20211122,-3.179070231444533,5.308890141881177,13.489345570630487,17.455753156105917
20211123,-2.933846393034826,4.666798843858788,12.921233675373134,16.0158878285595
20211124,-2.8957620162953175,4.900753104831117,15.448241346866054,18.964988243929742
20211125,-2.916503379053865,4.375653709505659,14.475986723717359,17.75658554533049
20211126,-2.975105502353514,4.323450750599815,15.358951468917384,21.60920044886804
20211129,-3.1181270024477126,4.84654322958772,11.445802073590576,14.758582173944333
20211130,-2.941711407999334,4.562030521598648,14.421421733882715,18.914479617340906
20211201,-3.1297771503478873,4.889728630838436,14.314510436623978,17.026880390672705
20211202,-3.0752476036746974,4.943759879227466,14.790916880891174,17.124435593984195
20211203,-3.3115121872347304,5.70616889406154,15.286571809693196,18.56323223624702
20211206,-2.749613410032783,4.639196035734072,16.206325642770253,20.74337057773283
20211207,-2.8263697497519567,4.371482488891443,17.22592878403704,21.449040451661
20211208,-2.703593013216444,4.28948600864593,18.05997210599721,21.905927570833196
20211209,-2.854702010639257,4.405427881004037,19.89426111261383,28.81274792112322
20211210,-2.6325542965061377,4.1896881697793,18.228871576959396,23.64564499331118
20211213,-3.140184099501397,4.58077492685983,14.094542764780012,17.487666962142978
20211214,-2.972765490769512,4.366815886091841,15.350423444830318,18.607530139187435
20211215,-2.7957084814626714,4.049666184956819,13.594019807008634,16.14600716196938
20211216,-2.862291329350678,4.84909247333615,14.511947964937749,18.2874006050228
20211217,-3.0823836109444933,4.6223275187121935,14.192013103861948,17.357609223465037
20211220,-3.117192823075176,4.5053663337556085,13.841153758800818,17.16741854740702
20211221,-2.9240755310778916,4.369911183532931,19.147285601888278,24.307989081319437
20211222,-3.153523433468692,4.926062343780381,23.233527023085724,29.310669452531492
20211223,-3.2054348781989273,5.229716474672758,23.96836250109929,26.825569749166664
20211224,-3.126475286183335,4.546693207498566,20.95729434732452,24.23729031299962
20211227,-3.1935210132167935,4.854561474647546,26.51613382268706,32.64555447404553
20211228,-2.6976131001942827,4.196500447616414,28.45170691090758,48.336167134865164
20211229,-3.1449702000337814,4.869944339100921,33.62546147720966,56.653551879774426
20211230,-3.1481090627153687,5.159057873668406,22.236237939352172,27.858100005488843
20211231,-3.079843869090237,5.0577901030701575,22.095734115527634,27.54166183301701
