date,avgR,stdR,avgS,stdS
20210701,0.3162018660755709,0.7471242443539711,23.655807000360845,30.01109544748938
20210702,0.206054386865059,0.9933717112509775,28.30030785017958,33.921732038203366
20210705,0.268860103626943,0.8752167732157126,20.4019689119171,24.172115486813347
20210706,0.18651547026527784,1.1767894052045325,23.759761916978807,26.368889698900063
20210707,0.30489755896165555,0.823127321926631,16.14171440367446,20.01514219096572
20210708,0.2538640475575084,0.960643836786081,16.973739984492116,20.336925102166262
20210709,0.24510264848769786,0.9023809067731459,21.411116334952723,27.098062564454853
20210712,0.2666459723731181,0.8664123280691898,16.255212375187543,19.701570953787964
20210713,0.29998940902351195,0.8498090294051205,28.058568099978817,33.54104431061113
20210714,0.2672102869687941,0.8221751854668731,24.27259421880717,30.586384479659454
20210715,0.3188255433936816,0.872968430886834,21.498521554183743,27.273783623039385
20210716,0.2761840183601085,1.120215342261913,27.915710411016065,32.87459321408337
20210719,0.19159047471460303,1.2944586792720587,21.71517123818379,26.204565297486944
20210720,0.2934788423474028,0.9272463278265833,22.000053495961055,29.091757209846442
20210721,0.2254373813554974,1.1529091618573135,18.3770971217485,22.538489230677193
20210722,0.24519726077207443,1.0320578659921196,21.9183685837222,25.027069815118846
20210723,0.3079836657394804,0.9986453807661265,21.142924779546664,27.11668167103128
20210726,0.19120713623725671,1.1168372187658422,17.8863531047266,21.087403375936322
20210727,0.2770892739635885,1.1638818513723062,19.58417416100022,23.378922516291244
20210728,0.2662691652470187,1.0420588508962518,23.874787052810902,26.138024094149937
20210729,0.2542691156622264,1.024758124233258,34.97599906108796,43.211455967829764
20210730,0.3022311303338784,0.8290258793319315,12.056279339627617,14.827526014638632
20210802,0.327294497371024,0.942495159716063,12.536883752407725,16.211198693588447
20210803,0.34156038622398927,0.8123834397369843,15.934166365467032,21.47883553655554
20210804,0.33089759535655056,0.8696149995202298,15.3899771973466,20.380753801000406
20210805,0.38464318909428896,0.7239500898152162,13.249199628214397,16.402332943945503
20210806,0.25217127852959,0.9826472761425655,17.86669359725308,21.175636897514753
20210809,0.297225214135508,0.8942832429077824,17.30594450428271,22.42013521359641
20210810,0.3069184972284952,0.9468699417787523,25.436973927324985,31.548429566760724
20210811,0.2717515890382411,0.8438137581320093,28.081171199333124,32.910337532746446
20210812,0.3050435487137938,0.9879365966430421,17.813297549118897,25.9551960335019
20210813,0.27546296296296297,1.018007049333644,13.660728663446054,17.00049822942727
20210816,0.29037766171153073,1.048038506318538,12.815889915628766,16.25148732636303
20210817,0.24526209677419356,1.0964236822427271,17.300604838709678,20.12517179943443
20210818,0.29767676767676765,0.9190875232092125,16.270959595959596,19.79767267947473
20210819,0.27423167848699764,0.9506956329203604,11.273477189276193,14.045533218653654
20210820,0.2709003215434084,0.9199606763404391,13.704381028938906,16.670497148542864
20210823,0.22351876068805956,1.1739528553926482,14.935318378432754,18.06988414958691
20210824,0.27708228167592125,1.0533017091286572,14.368147400302878,17.461520543687104
20210825,0.2125968407284435,0.9524769196558993,13.391186236039843,16.62637266593013
20210826,0.30982519590114527,0.8976952996975882,13.155615832831023,16.21369672004539
20210827,0.297537343560759,0.8545196701608766,13.982337505046427,15.805357851214373
20210830,0.27883204291280805,0.8691426284768905,14.098476797732909,16.574835871231784
20210831,0.3431605562579014,0.7693007469141862,14.865739570164349,17.334864408866
20210901,0.30040902893500987,0.8622157396867987,14.474675554208957,17.344899278161638
20210902,0.29798820148237787,0.9131302059491003,16.455856400947916,20.9565312348109
20210903,0.23308194563952017,0.9712071292805046,18.403705015943718,21.370687489822636
20210906,0.2715880263825469,0.8778574216254615,15.81222729578894,19.774820704690967
20210907,0.19472013703461133,1.0822957695196347,12.562295329739534,17.21018884620855
20210908,0.20585727897297026,1.0229294345866788,9.316734366380823,11.750548825920534
20210909,0.2032760607123178,1.077173080658818,8.311826879727496,11.221660142239582
20210910,0.20799959951942332,1.0827487691409912,7.861283540248298,10.460762108334459
20210913,0.19243693264456593,1.0954867652295754,8.648728622298009,11.155902920964031
20210914,0.20415954988445695,1.1200943948140978,10.182959911584447,13.11950278634433
20210915,0.21568333083120653,1.0335996910211236,8.04338687884702,10.959149451120291
20210916,0.13389016705011503,1.3269728928119895,7.60108032409723,9.886568368421928
20210917,0.15711284513805523,1.2144815411675072,5.913965586234494,8.305034044277411
20210922,-0.2901482127288579,2.629760378196832,6.708979947689625,9.285449872951913
20210923,0.11433148120338389,1.405031521161839,7.566101016168594,10.50454403782794
20210924,0.13081351689612014,1.3191794825388474,6.301727158948686,8.417861962557753
20210927,0.21000581733566026,2.643932391663916,157.48696387963403,177.32645588599863
20210928,0.14514028056112224,1.2545414216829023,6.924048096192385,9.112003075382654
20210929,0.13134851138353765,1.4750736895739025,6.354565924443333,8.710779847817163
20210930,0.149362385781705,1.4536146763108977,9.008334170097399,12.169978437308872
20211008,0.08468214872155759,1.835721031316943,7.584799437016186,10.939798887717043
20211011,0.08557408241950828,1.442933358419116,6.351159180812178,8.53497759252362
20211012,0.0997247935951964,1.5793299644693448,5.678358769076808,8.134116263856003
20211013,0.056236553759943964,1.7152410441026311,5.1421924250763,7.552746059472138
20211014,0.051238428821616215,1.6430767993221396,4.9584188141105825,7.305350670093535
20211015,0.11676422032117664,1.5563758812460977,5.884136274951223,8.290306630749967
20211018,0.060222266720064074,1.6784243088234057,5.832799359231077,8.640206090512855
20211019,0.21715401562187062,1.1897654854579278,6.051522130983376,8.421008129401285
20211020,0.09088631694974698,1.7893911110141403,9.401923944085375,14.483162652088852
