"id","stockid","pz","instrumentid","percentage","target","tradetype","maxposition","nighttime","exname","tick","chengshu","addtick"
196,74,SF,SF201,0,100,closet_closey_open,9999999,150000,CZCE,2,5,1
197,60,SM,SM201,50,100,closet_closey_open,9999999,150000,CZCE,2,5,1
198,69,UR,UR201,0,100,closet_closey_open,9999999,150000,CZCE,1,20,1
199,52,ZC,ZC201,0,100,closet_closey_open,9999999,230000,CZCE,0.2,100,1
201,68,eb,eb2110,0,100,closet_closey_open,9999999,230000,DCE,1,5,1
124,71,nr,nr2109,100,0,closet_closey_open,9999999,230000,INE,5,10,1
125,51,c,c2109,50,0,closet_closey_open,9999999,230000,DCE,1,10,1
126,26,MA,MA109,50,0,closet_closey_open,9999999,230000,CZCE,1,10,1
202,9,ag,ag2112,50,100,closet_closey_open,9999999,23000,SHFE,1,15,1
128,54,cs,cs2109,0,0,closet_closey_open,9999999,230000,DCE,1,10,1
129,78,rr,rr2112,100,100,closet_closey_open,9999999,230000,DCE,1,10,1
130,75,ss,ss2109,100,0,closet_closey_open,9999999,10000,SHFE,5,5,1
203,13,T,T2112,0,100,closet_closey_open,9999999,151500,CFFEX,0.005,10000,1
204,38,TF,TF2112,0,100,closet_closey_open,9999999,151500,CFFEX,0.005,10000,1
133,68,eb,eb2109,100,0,closet_closey_open,9999999,230000,DCE,1,5,1
205,53,bu,bu2112,50,100,closet_closey_open,9999999,230000,SHFE,2,10,1
206,6,au,au2112,100,100,closet_closey_open,9999999,23000,SHFE,0.02,1000,1
207,80,lh,lh2201,100,100,closet_closey_open,9999999,150000,DCE,5,16,1
208,81,PK,PK201,0,100,closet_closey_open,9999999,150000,CZCE,2,5,1
146,61,AP,AP110,0,100,closet_closey_open,9999999,150000,CZCE,1,10,1
147,78,rr,rr2110,0,0,closet_closey_open,9999999,230000,DCE,1,10,1
148,61,AP,AP201,100,0,closet_closey_open,9999999,150000,CZCE,1,10,1
149,22,TA,TA201,0,100,closet_closey_open,9999999,230000,CZCE,2,5,1
150,59,RM,RM201,0,100,closet_closey_open,9999999,230000,CZCE,1,10,1
151,55,ni,ni2110,0,100,closet_closey_open,9999999,10000,SHFE,10,1,1
152,33,CF,CF201,100,100,closet_closey_open,9999999,230000,CZCE,5,5,1
153,3,SR,SR201,0,100,closet_closey_open,9999999,230000,CZCE,1,10,1
154,23,m,m2109,100,0,closet_closey_open,9999999,230000,DCE,1,10,1
155,8,zn,zn2110,0,100,closet_closey_open,9999999,10000,SHFE,5,5,1
156,7,y,y2201,0,100,closet_closey_open,9999999,230000,DCE,2,10,1
157,58,pb,pb2110,0,100,closet_closey_open,9999999,10000,SHFE,5,5,1
158,27,i,i2109,100,0,closet_closey_open,9999999,230000,DCE,0.5,100,1
159,39,al,al2110,0,100,closet_closey_open,9999999,10000,SHFE,5,5,1
161,70,sn,sn2110,0,100,closet_closey_open,9999999,10000,SHFE,10,1,1
164,21,rb,rb2201,0,100,closet_closey_open,9999999,230000,SHFE,1,10,1
165,56,hc,hc2110,100,0,closet_closey_open,9999999,230000,SHFE,1,10,1
166,75,ss,ss2110,0,100,closet_closey_open,9999999,10000,SHFE,5,5,1
167,1,ru,ru2109,100,0,closet_closey_open,9999999,230000,SHFE,5,10,1
168,64,sp,sp2110,50,100,closet_closey_open,9999999,230000,SHFE,2,10,1
169,73,SA,SA109,100,0,closet_closey_open,9999999,230000,CZCE,1,20,1
170,10,p,p2201,100,100,closet_closey_open,9999999,230000,DCE,2,10,1
171,51,c,c2201,50,100,closet_closey_open,9999999,230000,DCE,1,10,1
172,50,v,v2201,100,100,closet_closey_open,9999999,230000,DCE,5,5,1
173,66,eg,eg2201,50,100,closet_closey_open,9999999,230000,DCE,1,10,1
174,34,FG,FG109,100,0,closet_closey_open,9999999,230000,CZCE,1,20,1
175,77,lu,lu2110,100,0,closet_closey_open,9999999,230000,INE,1,10,1
179,5,cu,cu2109,100,0,closet_closey_open,9999999,10000,SHFE,10,5,1
180,20,l,l2201,0,100,closet_closey_open,9999999,230000,DCE,5,5,1
181,31,pp,pp2201,0,100,closet_closey_open,9999999,230000,DCE,1,5,1
182,71,nr,nr2110,0,100,closet_closey_open,9999999,230000,INE,5,10,1
183,26,MA,MA201,50,100,closet_closey_open,9999999,230000,CZCE,1,10,1
184,35,OI,OI201,0,100,closet_closey_open,9999999,230000,CZCE,2,10,1
