ticktime,drl,pss,agg,vol_ratio
09:07:20.500,0.0,0.0,1.0,1.278312398935041
09:08:21.000,0.0,0.0,1.0,0.9021327919588664
09:09:21.000,0.0,0.0,1.0,0.8838465630258192
09:23:46.000,2.0,0.0,1.0,1.0601244089793256
09:23:47.000,2.0,0.0,2.0,1.0614280547121375
09:24:16.000,0.0,0.0,1.0,1.0732571061555056
09:25:16.000,0.0,0.0,1.0,0.6345639015465531
09:25:45.000,0.0,0.0,1.0,0.6139922377065429
09:25:45.000,0.0,0.0,1.0,0.6139922377065429
09:26:16.500,1.0,0.0,2.0,0.6118321235895343
09:26:45.500,0.0,0.0,1.0,0.6311949107882502
09:26:46.000,0.0,0.0,1.0,0.6313249164022278
09:27:46.000,0.0,0.0,1.0,0.4641548218353121
09:41:46.500,10.0,13.0,1.0,1.0072236650780308
09:43:49.000,0.0,0.0,1.0,1.168380277608291
09:44:08.500,0.0,0.0,1.0,1.1507572615777473
09:44:45.000,0.0,0.0,1.0,1.067085900304991
09:44:53.500,0.0,0.0,1.0,1.0825579597891115
09:45:15.000,0.0,0.0,1.0,1.137743695362302
09:46:15.500,0.0,0.0,1.0,0.8478069320543979
09:46:28.500,0.0,0.0,1.0,0.8187323853537618
09:47:15.500,0.0,0.0,1.0,1.0777335886514334
09:47:45.500,0.0,0.0,1.0,1.0821027789189477
09:47:46.000,0.0,0.0,1.0,1.0782295979755334
09:47:47.000,0.0,0.0,1.0,1.0719072995385373
09:47:48.000,0.0,0.0,1.0,1.0723462955338954
09:47:54.000,0.0,0.0,1.0,1.0552417246766943
09:48:05.000,0.0,0.0,1.0,1.0605696627063237
09:48:11.000,0.0,0.0,1.0,1.0827147707704234
09:48:45.500,0.0,0.0,1.0,1.132473107983019
09:48:46.000,0.0,0.0,2.0,1.135947181251949
09:48:48.000,0.0,0.0,2.0,1.1447530588702892
09:49:26.000,0.0,0.0,1.0,1.0745519932678371
09:50:01.500,0.0,0.0,1.0,0.9795670387150732
09:50:36.000,0.0,0.0,1.0,0.7190544816514423
09:50:46.000,0.0,0.0,1.0,0.7058082233132043
09:51:45.500,0.0,0.0,2.0,0.5743495943580136
09:56:52.000,0.0,0.0,1.0,1.206164295518627
09:58:51.500,0.0,0.0,2.0,2.4415834669175416
09:59:51.500,0.0,0.0,1.0,2.1957684701389644
10:00:18.000,0.0,0.0,1.0,2.4422643434437283
10:01:18.000,0.0,0.0,1.0,1.978333901585667
