date,avgR,stdR,avgS,stdS
20210701,0.15532583093431038,1.4309834795514398,12.789557707406438,17.39207858860381
20210702,0.20346231657660888,1.2005753345070442,9.124279751081973,11.806013411997654
20210705,0.13397191627081484,1.3337985948784359,9.709140262045205,12.910698554231098
20210706,0.17237136465324385,1.2640430733052843,12.92637024608501,17.351149583196023
20210707,0.22496607147609038,1.324834350734683,9.898799861624843,13.440487140974625
20210708,0.16182396004767038,1.2466869773049092,8.945093922024856,12.08157200775733
20210709,0.13931474431525878,1.5532317419303694,15.803452001234694,20.138921763332423
20210712,0.111557950615298,1.4065795776063839,10.60508324619963,13.875475892182015
20210713,0.1728375485610085,1.1730660675546116,10.897407436771585,13.819895122385335
20210714,0.17853871985346495,1.2241736731572017,9.294113157626946,12.02566363575611
20210715,0.18021309758029486,1.2926719487633989,9.351432148606179,12.571285253487366
20210716,0.14314742527137586,1.5319319096437147,12.395647291588686,16.751120970768294
20210719,0.08327040749902356,1.6059200888509306,11.836635854706419,15.592711129515125
20210720,0.0941089950041843,1.6314946197520555,12.747394314406716,17.480812319509937
20210721,0.11205454453287372,1.490355323975541,11.054138997313327,15.1560062600306
20210722,0.16702740761989204,1.3420157684013534,11.244034735442147,15.150441519704755
20210723,0.19764854614412136,1.2891257861083187,9.765537294563844,13.007978517658527
20210726,0.1840065698301083,1.2272115414579121,8.737514756454345,11.62148463937574
20210727,0.24502353467090904,1.2657887731060584,11.187541087065135,14.692042806472221
20210728,0.16992727645191028,1.221377856570425,10.548064119635358,13.923771841698956
20210729,0.2068613262960756,1.3423193363083004,12.418631707386282,16.219759118545845
20210730,0.1401500197394394,1.3617517064760638,10.389472298986709,13.982588941144927
20210802,0.16489837658187395,1.3352745352149036,9.29809535983638,12.872167895508609
20210803,0.20777920410783055,1.2303129307633383,10.235507060333761,13.259778956112708
20210804,0.18955597409633893,1.2246799048861634,9.137026239067055,11.473697766552993
20210805,0.21139096185737977,1.2306280053075882,9.80882048092869,13.153883638917478
20210806,0.12219964858335164,1.3704496553927301,10.905172413793103,14.379442003667771
20210809,0.16561753852832645,1.352660501212181,9.893124593010636,13.538551681819705
20210810,0.12306760498384864,1.5494453073737793,13.618625980618367,18.770912112525576
20210811,0.1871691146526213,1.2234824020204698,10.419162164363478,13.310166164148866
20210812,0.1659987792256044,1.4204550938532579,12.611422202170855,16.957918185783505
20210813,0.1793675194905018,1.2437171920565757,10.638300208630724,13.91198691471299
20210816,0.152996113463658,1.4535556367932443,15.123702070885782,20.6355494446764
20210817,0.20071165792171763,1.3193898417284011,17.011277968759423,20.900649665628084
20210818,0.17991104919086914,1.4410401644521698,19.95627478298146,27.15285595570817
20210819,0.1562699657315444,1.5128163561260333,15.41308009525469,20.48531402036623
20210820,0.16227110445698492,1.2730138737181187,9.390677185304618,11.962008824180495
20210823,0.10262560281697329,1.4707931092871658,11.784159628486131,15.763107184756537
20210824,0.11324410913600662,1.4727847613368164,14.789401612236462,19.956257982182937
20210825,0.21252659574468086,1.134782526421424,14.240585106382978,17.520768578248617
20210826,0.2891585936649614,1.135260207700845,13.00653096767171,16.478301132123104
20210827,0.21181786207083142,1.2344394476528486,13.531939070912584,17.209886829967036
20210830,0.2182526200245668,1.2228428560986562,12.219716174894806,15.536954627659288
20210831,0.20083518204358605,1.1600777250593604,13.681508547566228,17.056429629184237
20210901,0.17502062980807623,1.357534677589288,13.980461575318763,18.25013033929741
20210902,0.13852370383017473,1.4664854420727662,17.0,21.76151647087522
20210903,0.1731984493654081,1.478028654524281,19.98552918060645,26.27623198451416
20210906,0.16482137379033382,1.3520902630150595,15.353208578520233,20.106350264316085
20210907,0.05708691843989901,1.5629367472556024,19.774048122005254,28.822149398460766
20210908,0.1361853741060672,1.3735684401754662,12.61459000845872,16.862185461122507
20210909,0.14107883817427386,1.4565631565965167,12.659064243811704,17.69386422877783
20210910,0.10992362291852212,1.5397580169839689,12.219361455212804,15.966199344199573
20210913,0.07786377282617676,1.5562008445265856,12.615335885641887,17.017656182494676
20210914,0.15373733944435014,1.4685502464052127,12.26758331918746,17.07511273226087
20210915,0.08846014773490367,1.6836575736783326,9.318508187406374,12.679259765851933
20210916,-0.08940815366716998,1.9089205760096106,5.905517463303547,8.95393952401752
20210917,-0.009123035665054261,1.8807840881026856,6.899621544399609,10.2333252168218
20210922,-0.32751204404679973,2.4306655539433626,6.608052305574673,9.750572566456116
20210923,-0.16301676587843372,2.2807722521509435,7.479274752880782,10.886734680978492
20210924,-0.07258903363217593,1.961617439110885,6.204864034870474,9.4197384098461
20210927,-0.3526659441169473,3.7964133510957714,5.911787253165561,9.435311512351266
20210928,-0.19691715811587232,2.128476074662695,5.867928826343364,8.848122520105726
20210929,-0.20586116975040358,2.3357060136054733,6.598733391282752,10.146496460528535
20210930,-0.2822673401010152,2.4377660891615114,6.126944041606241,9.199391661874246
20211008,-0.5791775356759246,3.0914379424023553,6.72602424428418,10.796518061570765
20211011,-0.3509843168055943,3.5921532796226745,6.1434036839038235,9.510050656891664
20211012,-0.29369009781457117,2.549373075518564,5.363761795648853,8.517456043508632
20211013,-0.6145835897688388,3.482812093172726,4.75788385317939,7.834263663510819
20211014,-0.30737573621824094,2.405118612585149,4.644594494689371,7.123104454033528
20211015,-0.2321975888843482,2.3748942920545097,5.525720269718022,8.234026684158925
20211018,-0.2828468531996877,2.4034500338409845,5.417709723726295,8.20453377444122
20211019,-0.27160081236021494,2.3245473392877796,5.201676135633306,8.035719459798603
20211020,-0.14757302065177202,2.268962314517061,5.538213700945439,8.353966751884693
