algo,avgTime,cost
lam 10,15.171322652268115,15280.0
lam 1,17.332271021159738,15100.0
lam 0.5,12.27052409290151,14950.0
lam 0.2,20.070730424041596,14570.0
lam 0.1,20.380900131283877,14440.0
lam 0.02,17.417196492760088,13690.0
lam 0.001,16.360992741613224,14420.0
pnt,4.820890320545269,15440.0
que,11.92485645337129,9570.0
